variable,desc,alias,level,section,scale,subscale,aggregate,aggregate_ref,type,required,condition,sum_type,MAX,option_1,option_2,option_3,option_4,option_5,option_6,option_7,option_8,option_9
#,,,,,,,,,,,,,,,,,,,,,,
# Version eMAPS Scorer: 2020.01,,,,,,,,,,,,,,,,,,,,,,
# Version eMAPS: 6.3,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,MAX = ,,,63,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,
# STREETSCAPE,,,,,,,,,,MAX=,,,19,MIN=,-9,,,,,,,
Q_065,Plataforma única,seg_plataforma_ubica,segment,streetscape,streetscape_positive,curbless_street,,,bool,TRUE,,positive,1,True=1,False=0,,,,,,,
### Cycleway ,,,,,,,,,,,,,2,,,,,,,,,
Q_053_CV,Ciclovía,seg_coiclovia,segment,streetscape,streetscape_positive,cycleway,TRUE,,numeric,TRUE,,positive,2,"(>=1,<=1)=1","(>=2,<=2)=2",*=0,,,,,,
Q_053,Ciclovia Existencia,seg_ciclovia_exist,segment,streetscape,streetscape_positive,cycleway,TRUE,Q_053_CV,max,TRUE,,positive,,[value],,,,,,,,
Q_053_l,Ciclovía Existencia - Lado izquierdo,seg_ciclovia_exist_izq,segment,streetscape,streetscape_positive,cycleway,,Q_053,option,TRUE,,positive,,A=0:En acera,B=1:En calzada,C=0:No existe,,,,,,
Q_053_r,Ciclovía Existencia - Lado derecho,seg_ciclovia_exist_der,segment,streetscape,streetscape_positive,cycleway,,Q_053,option,TRUE,,positive,,A=0:En acera,B=1:En calzada,C=0:No existe,,,,,,
Q_054,Ciclovia Segregada,seg_ciclovia_segregada,segment,streetscape,streetscape_positive,cycleway,TRUE,Q_053_CV,max,TRUE,,positive,,[value],,,,,,,,
Q_054_l,Ciclovia Segregada - Lado izquierdo,seg_ciclovia_segregada_izq,segment,streetscape,streetscape_positive,cycleway,,Q_054,bool,TRUE,,positive,,True=1:Segregada,False=0:No Segregada,,,,,,,
Q_054_r,Ciclovia Segregada - Lado derecho,seg_ciclovia_segregada_der,segment,streetscape,streetscape_positive,cycleway,,Q_054,bool,TRUE,,positive,,True=1:Segregada,False=0:No Segregada,,,,,,,
### Trees,,,,,,,,,,,,,4,,,,,,,,,
Q_041,Arboles,seg_acera_arboles,segment,streetscape,streetscape_positive,trees,TRUE,,numeric,TRUE,,positive,2,"(>0, <=1)=0","(>1, <=10)=1",(>10)=2,,,,,,
Q_041_l,Arboles - Lado izquierdo,seg_acera_arboles_izq,segment,streetscape,streetscape_positive,trees,,Q_041,formula,TRUE,,positive,,[value],,,,,,,,
Q_041_r,Arboles - Lado derecho,seg_acera_arboles_der,segment,streetscape,streetscape_positive,trees,,Q_041,formula,TRUE,,positive,,[value],,,,,,,,
Q_042,Espaciado de Arboles,seg_acera_arboles_espacio,segment,streetscape,streetscape_positive,trees,TRUE,,numeric,TRUE,,positive,2,"(>=1,<=1)=1","(>=2,<=2)=2",*=0,,,,,,
Q_042_l,Espaciado de Arboles - Lado izquierdo,seg_acera_arboles_espacio_izq,segment,streetscape,streetscape_positive,trees,,Q_042,option,TRUE,,positive,,A=1:Regular,B=0:Irregular,*=0,,,,,,
Q_042_r,Espaciado de Arboles - Lado derecha,seg_acera_arboles_espacio_der,segment,streetscape,streetscape_positive,trees,,Q_042,option,TRUE,,positive,,A=1:Regular,B=0:Irregular,*=0,,,,,,
### Connectors,,,,,,,,,,,,,1,,,,,,,,,
Q_056_CON,Conectores,seg_conectores,segment,streetscape,streetscape_positive,connectors,TRUE,,numeric,TRUE,,positive,1,(>=1)=1,*=0,,,,,,,
Q_056_l,Caminos informales - Lado izquierdo,seg_caminos_informales_izq,segment,streetscape,streetscape_positive,connectors,,Q_056_CON,formula,TRUE,,positive,,[value],,,,,,,,
Q_056_r,Caminos informales: - Lado derecho,seg_caminos_informales_der,segment,streetscape,streetscape_positive,connectors,,Q_056_CON,formula,TRUE,,positive,,[value],,,,,,,,
Q_057_l,Puente peatonal - Lado izquierdo,seg_puente_peatonal_izq,segment,streetscape,streetscape_positive,connectors,,Q_056_CON,formula,TRUE,,positive,,[value],,,,,,,,
Q_057_r,Puente peatonal - Lado derecho,seg_puente_peatonal_der,segment,streetscape,streetscape_positive,connectors,,Q_056_CON,formula,TRUE,,positive,,[value],,,,,,,,
Q_058_l,Escalinatas o rampas - Lado izquierdo,seg_escalinata_izq,segment,streetscape,streetscape_positive,connectors,,Q_056_CON,formula,TRUE,,positive,,[value],,,,,,,,
Q_058_r,Escalinatas o rampas - Lado derecho,seg_escalinata_der,segment,streetscape,streetscape_positive,connectors,,Q_056_CON,formula,TRUE,,positive,,[value],,,,,,,,
## Streetscape negative,,,,,,,,,,MAX=,,,-9,,,,,,,,,
### Roll-over curbs,,,,,,,,,,,,,-1,,,,,,,,,
Q_035,Bordillo redondeado de Acera,seg_acera_bordillo,segment,streetscape,streetscape_negative,roll_over_curbs,TRUE,,numeric,TRUE,,negative,-1,(>0)=-1,*=0,,,,,,,
Q_035_l,Bordillo redondeado de acera - Lado izquierdo,seg_acera_bordillo_izq,segment,streetscape,streetscape_negative,roll_over_curbs,,Q_035,bool,TRUE,,negative,,True=1,False=0,,,,,,,
Q_035_r,Bordillo redondeado de acera - Lado derecho,seg_acera_bordillo_der,segment,streetscape,streetscape_negative,roll_over_curbs,,Q_035,bool,TRUE,,negative,,True=1,False=0,,,,,,,
### Lack of lighting,,,,,,,,,,,,,-1,,,,,,,,,
Q_040_NEG,Luminarias,seg_acera_luminarias_neg,segment,streetscape,streetscape_negative,lack_lighting,TRUE,,numeric,TRUE,,negative,-1,(<1)=-1,*=0,,,,,,,
Q_040_l,Luminarias - Lado izquierdo,seg_acera_luminarias_izq,segment,streetscape,streetscape_negative,lack_lighting,,Q_040_NEG,formula,TRUE,,positive,,([value]/[segment_length])*100,,,,,,,,
Q_040_r,Luminarias - Lado derecho,seg_acera_luminarias_der,segment,streetscape,streetscape_negative,lack_lighting,,Q_040_NEG,formula,TRUE,,positive,,([value]/[segment_length])*100,,,,,,,,
